target,actual,predicted
q3,0.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,0.0,0.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,1.0,1.0
q3,0.0,0.0
q3,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,0.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,1.0
top10,1.0,1.0
top10,0.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,0.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
